source,target,weight
ABAVIJ,BOWDIC,1.0
ABAVIJ,CEYPUT,1.0
ABAVOP,BOWDIC,1.0
ABAVOP,AHETAK,1.0
ABEFUL,XUGWAZ,0.8999999761581421
ABEFUL,PUFNUB,0.8999999761581421
ABEFUL,FASFUD,0.8999999761581421
ABEFUL,FASFOX,0.8999999761581421
ABIWOX,EDAJUP,1.0
ABIWOX,EXAXAE03,0.8999999761581421
ABUFOU,QUBHAX,0.8999999761581421
ABUFUA,QUBHAX,0.8999999761581421
ABUFUA,CUTKUY,0.8999999761581421
ABUFUA,QUBHAX01,0.8999999761581421
ABUFUA,LARNAV,0.8999999761581421
ABUFUA,LOYBIM,0.8999999761581421
ACAJIY,WILNEL,0.8999999761581421
ACAJOG,KIYCIH,1.0
ACAJOG,NIMVOW,0.8999999761581421
ACAJOG,WORNEY,0.8999999761581421
ACAKEX,NIMWUD,0.8999999761581421
ACAKUM,ZOFZIF,0.8999999761581421
ACAKUM,ACALAT,0.8999999761581421
ACAKUM,ACALEX,0.8999999761581421
ACAKUM,ACALIB,0.8999999761581421
ACALAT,ZOFZIF,0.8999999761581421
ACALAT,ACALIB,0.8999999761581421
ACALEX,ZOFZIF,0.8999999761581421
ACALEX,ACALIB,0.8999999761581421
ACALIB,ZOFZIF,0.8999999761581421
ACIBOE,XASNUD,1.0
ACIBOE,FUTZIF,1.0
ACIBOE,PEJNOJ,1.0
ACMPCD,DEFFEC,0.8999999761581421
ACOBEC,BADJIC,1.0
ACOBEC,BADJAU,1.0
ACOBEC,TAJTAC,1.0
ACODAA,SOMJOV,1.0
ACODAA,ACODEE,1.0
ACODAA,XIRYIJ,0.8999999761581421
ACODAA,GAYFUJ,0.8999999761581421
ACODAA,QIJFAT,0.8999999761581421
ACODED,BELTOD,0.8999999761581421
ACODED,DARDAD,0.8999999761581421
ACODEE,SOMJOV,1.0
ACODEE,XIRYIJ,0.8999999761581421
ACODEE,SOMSIY,0.8999999761581421
ACODIH,LEKPAV,1.0
ACODIH,CESQUP,1.0
ACODIH,PICCUC,1.0
ACODON,KIJKIA,1.0
ACODON,DARDAD,0.8999999761581421
ACOFIK,SAHWEG,0.8999999761581421
ACOFIK,SAHYOS,0.8999999761581421
