source,target,weight
ABAVIJ,ABAVOP,0.9999999403953552
ABAVIJ,BOWDIC,0.9999999403953552
ABAVIJ,CIJBEE,0.9999999403953552
ABAVIJ,AHETAK,0.9999999403953552
ABAVIJ,DARYIF,0.9977757334709167
ABAVOP,CEYPUT,0.9999999403953552
ABAVOP,BOWDOI,0.9999999403953552
ABAVOP,BOWDIC,0.9999999403953552
ABAVOP,BUVNIR,0.9977757334709167
ABAYIM,ABAYOS,1.0
ABAYIO,DEPXIG,1.0
ABAYIO,CIBTIT,1.0
ABAYIO,CEHKUW,0.9970499873161316
ABAYOS,DEGBOI,0.9794056415557861
ABEFUL,DIBJEF,0.9998192191123962
ABEMIF,DIHVIB01,1.0
ABIWOX,ADONEP,0.9996275901794434
ABUFOU,ABUFUA,0.9989085793495178
ABUFOU,CUTKUY,0.9819706082344055
ABUFUA,CUTKUY,0.9800522327423096
ABUWOJ,BADZAK,1.0
ABUWOJ,CUZBUW,0.9977757334709167
ABUWOJ,BUKLOJ01,0.9977757334709167
ABUWOJ,AHOBAB,0.7327938079833984
ABUWOJ,AWEYAE,0.7000000476837158
ACAFAO,CEZZIR,0.7749999761581421
ACAFAO,CEJXEW,0.6753767728805542
ACAFAO,BIZLUT,0.5971158742904663
ACAKEX,ADONEP,0.7260869741439819
ACAKEX,DITJOI,0.7239177823066711
ACAKUM,ACALEX,0.9985291957855225
ACAKUM,CUTBIE,0.8199999928474426
ACALAT,ACALEX,0.9998192191123962
ACIBOE,AGIREP,1.0
ACIBOE,CEHLAD,1.0
ACIBOE,CADPII,1.0
ACIBOE,BEQKAM,1.0
ACMPCD,COBWEV,0.7300000190734863
ACMPCD,DEFFEC,0.9968591928482056
ACMPCD,CURZEV,0.7183676362037659
ACODAA,ACODEE,1.0
ACODAA,AQOMAW,0.8408057689666748
ACODAA,COJHIT,0.8408057689666748
ACODEE,AQOMAW,0.8408057689666748
ACODEE,COJHIT,0.8408057689666748
ACODIH,COGNAO,1.0
ACODIH,CESQUP,1.0
ACODIH,BELTUJ,0.9977757334709167
ACODIH,BELTOD,0.9974996447563171
ACODIH,BELVAR,0.9974996447563171
ACODON,DARDIL,0.9998192191123962
ACODON,DARFOT,0.999731719493866
ACODON,CUKJUO,0.7259061932563782
ACOFEG,ACOFIK,0.9998192191123962
ACOFEG,DANFUW,0.967766523361206
ACOLOV,CAZNEY,0.9939473867416382
ACOLOV,ADODII,0.9812385439872742
ACOLOV,ADODOO,0.9801182150840759
ACOVEU,CEKYIC,0.9939473867416382
ACOVEU,AHIJOQ,0.9788232445716858
ACUBOP,CEJFUU,0.9970499873161316
ACUBOP,CURSEO,0.9955214262008667
ACUWIH,ACUWON,0.9972895383834839
ACUWIH,CUQXAP,0.6632139682769775
ACUWIH,CUQXIX,0.662764310836792
