source,target,weight
ABAVIJ,BOWDOI,1.0
ABAVIJ,BOWDIC,1.0
ABAVIJ,CEYPUT,1.0
ABAVIJ,KEJWAY,1.0
ABAVIJ,VEDGES,1.0
ABAVIJ,BIPXIK,1.0
ABAVIJ,JEKRAT,0.4535714089870453
ABAVIJ,TILFEC,0.44411763548851013
ABAVOP,BOWDIC,1.0
ABAVOP,BIPXIK,1.0
ABAVOP,AHETAK,1.0
ABAVOP,VEDGIW,1.0
ABAVOP,CEYPUT01,1.0
ABAVOP,CEYPUT,1.0
ABAVOP,CIJBEE,1.0
ABAVOP,ERUNIQ,1.0
ABAVOP,EXUXEC,1.0
ABAVOP,TATSIS,1.0
ABAVOP,TATSIS01,1.0
ABAVOP,VEDFAN,1.0
ABAVOP,VEDFER,1.0
ABAVOP,VEDFIV,1.0
ABAVOP,VEDFOB,1.0
ABAVOP,VEDFUH,1.0
ABAVOP,VEDGAO,1.0
ABAVOP,VEDGES,1.0
ABAVOP,VODNOS,1.0
ABAVOP,YIGGEB,1.0
ABAVUV,BOWDIC,1.0
ABAVUV,CEYPUT,1.0
ABAVUV,AHETAK,1.0
ABAVUV,VEDGIW,1.0
ABAVUV,CEYPUT01,1.0
ABAYIM,ABAYOS01,1.0
ABAYIM,ABAYOS,1.0
ABAYIM,YOSLOH,1.0
ABAYIM,EHAHIF,1.0
ABAYIM,JOXPET,1.0
ABAYIO,PUNYIH,1.0
ABAYIO,CIBTIT,1.0
ABAYIO,WEYQAU01,1.0
ABAYIO,WEYQAU,1.0
ABAYIO,WEYPUN,1.0
ABAYOS,EHAHIF,1.0
ABAYOS,JOXPET,1.0
ABAYOS,YOSLOH,1.0
ABAYOS,ABAYOS01,1.0
ABAYOS01,EHAHIF,1.0
ABAYOS01,YOSLOH,1.0
ABAYOS01,JOXPET,1.0
ABAYOU,XAVQIU,1.0
ABAYOU,XAVQIU01,1.0
ABAYOU,HURGEH,1.0
ABAYOU,PUNYED,1.0
ABAYOU,JEDVUM,1.0
ABEFUL,XUGWAZ,0.8999999761581421
ABEFUL,PUFNUB,0.8999999761581421
ABEFUL,FASFUD,0.8999999761581421
ABEFUL,UQUCUG,0.8999999761581421
ABEFUL,FASGAK,0.8999999761581421
ABEFUL,DIBJEF,0.8999999761581421
ABEFUL,FASFOX,0.8999999761581421
ABEFUL,YEKREO,0.4965517222881317
ABEMIF,DOTSOV33,1.0
ABEMIF,DOTSOV31,1.0
ABEMIF,DOTSOV39,1.0
ABEMIF,DOTSOV38,1.0
ABEMIF,ZOFDUV,1.0
ABIWOX,EDAJUP01,1.0
ABIWOX,EDAJUP,1.0
ABIWOX,EXAXAE03,0.8999999761581421
ABIWOX,REWVIB,0.8999999761581421
ABIWOX,SERKAC,0.8999999761581421
ABIWOX,LADWAR,0.6538462042808533
ABIWOX,MONFAY,0.5333333611488342
ABIWOX,UNAHEY,0.7260869741439819
ABUFOU,QUBHAX,0.8999999761581421
ABUFOU,ABUFUA,0.8999999761581421
ABUFOU,CUTKUY,0.8999999761581421
ABUFOU,LARNAV,0.8999999761581421
ABUFOU,QUBHAX01,0.8999999761581421
ABUFOU,GIKBEK,0.46799996495246887
ABUFOU,LAHYOL,0.46799996495246887
ABUFOU,LARXUA,0.665217399597168
ABUFOU,LOYBIM,0.8999999761581421
ABUFOU,NEZQIV,0.7285714149475098
ABUFOU,NUZVOV,0.47741931676864624
