source,target,weight
ABAVIJ,ABAVOP,1.0
ABAVIJ,ABAVUV,1.0
ABAVIJ,ACICOH,0.8999999761581421
ABAVIJ,AHEMEG,0.8999999761581421
ABAVIJ,AHETAK,1.0
ABAVIJ,AKOXIJ,0.8999999761581421
ABAVIJ,AVAQIX,0.8999999761581421
ABAVIJ,AVAQIX01,0.8999999761581421
ABAVIJ,BAHGUN,0.8999999761581421
ABAVIJ,BAHGUN01,0.8999999761581421
ABAVIJ,BAHGUN02,0.8999999761581421
ABAVIJ,BAHGUN03,0.8999999761581421
ABAVIJ,BAHGUN04,0.8999999761581421
ABAVIJ,BIPXIK,1.0
ABAVIJ,BOWDIC,1.0
ABAVIJ,BOWDOI,1.0
ABAVIJ,BOWDUO,1.0
ABAVIJ,BUVNIR,0.8999999761581421
ABAVIJ,BUXCAZ,0.8999999761581421
ABAVIJ,CESNUM,0.8999999761581421
ABAVIJ,CESYEF,0.8999999761581421
ABAVIJ,CESYEF01,0.8999999761581421
ABAVIJ,CEYPUT,1.0
ABAVIJ,CEYPUT01,1.0
ABAVIJ,CIJBEE,1.0
ABAVIJ,DARYIF,0.8999999761581421
ABAVIJ,DIWFAT,0.8999999761581421
ABAVIJ,ECODEG,0.8999999761581421
ABAVIJ,ECODIK,0.8999999761581421
ABAVIJ,EFUHEU,0.8999999761581421
ABAVIJ,EGOZAB,0.8999999761581421
ABAVIJ,ERUNIQ,1.0
ABAVIJ,EXUXEC,1.0
ABAVIJ,FEJFAE,0.8999999761581421
ABAVIJ,GIMSUS,0.8999999761581421
ABAVIJ,HAWZEM,0.8999999761581421
ABAVIJ,HIBVET,0.8999999761581421
ABAVIJ,HIVQAG,0.8999999761581421
ABAVIJ,HOGSIG,0.8999999761581421
ABAVIJ,INICPB,0.8999999761581421
ABAVIJ,INICPB01,0.8999999761581421
ABAVIJ,INICPB02,0.8999999761581421
ABAVIJ,IPINAY,0.8999999761581421
ABAVIJ,IVELUS,0.8999999761581421
ABAVIJ,IVEMAZ,0.8999999761581421
ABAVIJ,IVEMED,0.8999999761581421
ABAVIJ,IVEMIH,0.8999999761581421
ABAVIJ,IVEMIH01,0.8999999761581421
ABAVIJ,JUKVEQ,0.8999999761581421
ABAVIJ,JUKVEQ01,0.8999999761581421
ABAVIJ,KAFQAL,0.8999999761581421
ABAVIJ,KAKTIA,0.8999999761581421
ABAVIJ,KAKTIA01,0.8999999761581421
ABAVIJ,KEJBOQ,0.8999999761581421
ABAVIJ,KEJHIQ,0.8999999761581421
ABAVIJ,KEJWAY,1.0
ABAVIJ,LASMAV,1.0
ABAVIJ,MURREW,0.8999999761581421
ABAVIJ,NAMKAO,0.8999999761581421
ABAVIJ,NEBTAS,0.8999999761581421
ABAVIJ,NELCEN,0.8999999761581421
ABAVIJ,NIHDEQ,0.8999999761581421
ABAVIJ,NIHDIU,0.8999999761581421
ABAVIJ,NUZSOR,0.8999999761581421
ABAVIJ,OJOBAS,1.0
ABAVIJ,OTIPEO,0.8999999761581421
ABAVIJ,OTIQEP,0.8999999761581421
ABAVIJ,POCMEA,0.8999999761581421
ABAVIJ,POCMEA01,0.8999999761581421
ABAVIJ,POCMEA03,0.8999999761581421
ABAVIJ,POCMEA04,0.8999999761581421
ABAVIJ,POFDEV,0.8999999761581421
ABAVIJ,POFDIZ,0.8999999761581421
ABAVIJ,POFDOF,0.8999999761581421
ABAVIJ,POFDUL,0.8999999761581421
ABAVIJ,POFFAT,0.8999999761581421
ABAVIJ,POFFEX,0.8999999761581421
ABAVIJ,QEPTEL,0.8999999761581421
ABAVIJ,QERZUI,0.8999999761581421
ABAVIJ,QERZUI01,0.8999999761581421
ABAVIJ,QIWQES,0.8999999761581421
ABAVIJ,REDYEG,0.8999999761581421
ABAVIJ,RIGHAR,0.8999999761581421
ABAVIJ,ROCZAM,0.8999999761581421
ABAVIJ,ROCZEQ,0.8999999761581421
ABAVIJ,ROGLOP,0.8999999761581421
ABAVIJ,SAHDAH,0.8999999761581421
ABAVIJ,SIVVAW,0.8999999761581421
ABAVIJ,TATSIS,1.0
ABAVIJ,TATSIS01,1.0
ABAVIJ,TOFQEM,0.8999999761581421
ABAVIJ,TUTQOP,0.8999999761581421
ABAVIJ,UFATEA,0.8999999761581421
ABAVIJ,UFATEA01,0.8999999761581421
ABAVIJ,UFUMUD,0.8999999761581421
ABAVIJ,UFUMUD01,0.8999999761581421
ABAVIJ,UFUMUD02,0.8999999761581421
ABAVIJ,UFUNAK,0.8999999761581421
ABAVIJ,UFUNIS,0.8999999761581421
ABAVIJ,UGEPEB,0.8999999761581421
ABAVIJ,UGEPEB01,0.8999999761581421
ABAVIJ,UMABIV,0.8999999761581421
ABAVIJ,UMABOB,0.8999999761581421
ABAVIJ,UMAQAC,0.8999999761581421
ABAVIJ,VACFUB,0.8999999761581421
ABAVIJ,VACFUB01,0.8999999761581421
ABAVIJ,VEDFAN,1.0
ABAVIJ,VEDFER,1.0
ABAVIJ,VEDFIV,1.0
ABAVIJ,VEDFOB,1.0
ABAVIJ,VEDFUH,1.0
ABAVIJ,VEDGAO,1.0
ABAVIJ,VEDGES,1.0
ABAVIJ,VEDGIW,1.0
ABAVIJ,VODNOS,1.0
ABAVIJ,VOJPUG01,0.8999999761581421
ABAVIJ,WEBKIX,0.8999999761581421
ABAVIJ,WEBKOD,0.8999999761581421
ABAVIJ,WEBLAQ,0.8999999761581421
ABAVIJ,XEQLEM,0.8999999761581421
ABAVIJ,XEQLEM01,0.8999999761581421
ABAVIJ,XUNGOD,0.8999999761581421
ABAVIJ,XUNGUJ,0.8999999761581421
ABAVIJ,XUNHAQ,0.8999999761581421
ABAVIJ,XUNROP,0.8999999761581421
ABAVIJ,XUNRUV,0.8999999761581421
ABAVIJ,XUNSAC,0.8999999761581421
ABAVIJ,XUNSEG,0.8999999761581421
ABAVIJ,XUNSIK,0.8999999761581421
ABAVIJ,XUNSOQ,0.8999999761581421
ABAVIJ,XUNSUW,0.8999999761581421
ABAVIJ,XUNTAD,0.8999999761581421
ABAVIJ,XUNTEH,0.8999999761581421
ABAVIJ,XUNTEH01,0.8999999761581421
ABAVIJ,XUNTIL,0.8999999761581421
ABAVIJ,YAQCEY,0.8999999761581421
ABAVIJ,YIGGEB,1.0
ABAVIJ,YODRAM,1.0
ABAVIJ,YUNBOZ,0.8999999761581421
ABAVOP,ABAVUV,1.0
ABAVOP,ACICOH,0.8999999761581421
ABAVOP,AHEMEG,0.8999999761581421
ABAVOP,AHETAK,1.0
ABAVOP,AKOXIJ,0.8999999761581421
ABAVOP,AVAQIX,0.8999999761581421
ABAVOP,AVAQIX01,0.8999999761581421
ABAVOP,BAHGUN,0.8999999761581421
ABAVOP,BAHGUN01,0.8999999761581421
ABAVOP,BAHGUN02,0.8999999761581421
ABAVOP,BAHGUN03,0.8999999761581421
ABAVOP,BAHGUN04,0.8999999761581421
ABAVOP,BIPXIK,1.0
ABAVOP,BOWDIC,1.0
ABAVOP,BOWDOI,1.0
ABAVOP,BOWDUO,1.0
ABAVOP,BUVNIR,0.8999999761581421
ABAVOP,BUXCAZ,0.8999999761581421
ABAVOP,CESNUM,0.8999999761581421
ABAVOP,CESYEF,0.8999999761581421
ABAVOP,CESYEF01,0.8999999761581421
ABAVOP,CEYPUT,1.0
ABAVOP,CEYPUT01,1.0
ABAVOP,CIJBEE,1.0
ABAVOP,DARYIF,0.8999999761581421
ABAVOP,DIWFAT,0.8999999761581421
ABAVOP,ECODEG,0.8999999761581421
ABAVOP,ECODIK,0.8999999761581421
ABAVOP,EFUHEU,0.8999999761581421
ABAVOP,EGOZAB,0.8999999761581421
ABAVOP,ERUNIQ,1.0
ABAVOP,EXUXEC,1.0
ABAVOP,FEJFAE,0.8999999761581421
ABAVOP,GIMSUS,0.8999999761581421
ABAVOP,HAWZEM,0.8999999761581421
ABAVOP,HIBVET,0.8999999761581421
ABAVOP,HIVQAG,0.8999999761581421
ABAVOP,HOGSIG,0.8999999761581421
ABAVOP,INICPB,0.8999999761581421
ABAVOP,INICPB01,0.8999999761581421
ABAVOP,INICPB02,0.8999999761581421
ABAVOP,IPINAY,0.8999999761581421
ABAVOP,IVELUS,0.8999999761581421
ABAVOP,IVEMAZ,0.8999999761581421
ABAVOP,IVEMED,0.8999999761581421
ABAVOP,IVEMIH,0.8999999761581421
ABAVOP,IVEMIH01,0.8999999761581421
ABAVOP,JUKVEQ,0.8999999761581421
ABAVOP,JUKVEQ01,0.8999999761581421
ABAVOP,KAFQAL,0.8999999761581421
ABAVOP,KAKTIA,0.8999999761581421
ABAVOP,KAKTIA01,0.8999999761581421
ABAVOP,KEJBOQ,0.8999999761581421
ABAVOP,KEJHIQ,0.8999999761581421
ABAVOP,KEJWAY,1.0
ABAVOP,LASMAV,1.0
ABAVOP,MURREW,0.8999999761581421
ABAVOP,NAMKAO,0.8999999761581421
ABAVOP,NEBTAS,0.8999999761581421
ABAVOP,NELCEN,0.8999999761581421
ABAVOP,NIHDEQ,0.8999999761581421
ABAVOP,NIHDIU,0.8999999761581421
ABAVOP,NUZSOR,0.8999999761581421
ABAVOP,OJOBAS,1.0
ABAVOP,OTIPEO,0.8999999761581421
ABAVOP,OTIQEP,0.8999999761581421
ABAVOP,POCMEA,0.8999999761581421
ABAVOP,POCMEA01,0.8999999761581421
ABAVOP,POCMEA03,0.8999999761581421
ABAVOP,POCMEA04,0.8999999761581421
ABAVOP,POFDEV,0.8999999761581421
ABAVOP,POFDIZ,0.8999999761581421
ABAVOP,POFDOF,0.8999999761581421
ABAVOP,POFDUL,0.8999999761581421
ABAVOP,POFFAT,0.8999999761581421
ABAVOP,POFFEX,0.8999999761581421
ABAVOP,QEPTEL,0.8999999761581421
ABAVOP,QERZUI,0.8999999761581421
ABAVOP,QERZUI01,0.8999999761581421
ABAVOP,QIWQES,0.8999999761581421
ABAVOP,REDYEG,0.8999999761581421
ABAVOP,RIGHAR,0.8999999761581421
ABAVOP,ROCZAM,0.8999999761581421
ABAVOP,ROCZEQ,0.8999999761581421
ABAVOP,ROGLOP,0.8999999761581421
ABAVOP,SAHDAH,0.8999999761581421
ABAVOP,SIVVAW,0.8999999761581421
ABAVOP,TATSIS,1.0
ABAVOP,TATSIS01,1.0
ABAVOP,TOFQEM,0.8999999761581421
ABAVOP,TUTQOP,0.8999999761581421
ABAVOP,UFATEA,0.8999999761581421
ABAVOP,UFATEA01,0.8999999761581421
ABAVOP,UFUMUD,0.8999999761581421
ABAVOP,UFUMUD01,0.8999999761581421
ABAVOP,UFUMUD02,0.8999999761581421
ABAVOP,UFUNAK,0.8999999761581421
ABAVOP,UFUNIS,0.8999999761581421
ABAVOP,UGEPEB,0.8999999761581421
ABAVOP,UGEPEB01,0.8999999761581421
ABAVOP,UMABIV,0.8999999761581421
ABAVOP,UMABOB,0.8999999761581421
ABAVOP,UMAQAC,0.8999999761581421
ABAVOP,VACFUB,0.8999999761581421
ABAVOP,VACFUB01,0.8999999761581421
ABAVOP,VEDFAN,1.0
ABAVOP,VEDFER,1.0
ABAVOP,VEDFIV,1.0
ABAVOP,VEDFOB,1.0
ABAVOP,VEDFUH,1.0
ABAVOP,VEDGAO,1.0
ABAVOP,VEDGES,1.0
ABAVOP,VEDGIW,1.0
ABAVOP,VODNOS,1.0
ABAVOP,VOJPUG01,0.8999999761581421
ABAVOP,WEBKIX,0.8999999761581421
ABAVOP,WEBKOD,0.8999999761581421
ABAVOP,WEBLAQ,0.8999999761581421
ABAVOP,XEQLEM,0.8999999761581421
ABAVOP,XEQLEM01,0.8999999761581421
ABAVOP,XUNGOD,0.8999999761581421
ABAVOP,XUNGUJ,0.8999999761581421
ABAVOP,XUNHAQ,0.8999999761581421
ABAVOP,XUNROP,0.8999999761581421
ABAVOP,XUNRUV,0.8999999761581421
ABAVOP,XUNSAC,0.8999999761581421
ABAVOP,XUNSEG,0.8999999761581421
ABAVOP,XUNSIK,0.8999999761581421
ABAVOP,XUNSOQ,0.8999999761581421
ABAVOP,XUNSUW,0.8999999761581421
ABAVOP,XUNTAD,0.8999999761581421
ABAVOP,XUNTEH,0.8999999761581421
ABAVOP,XUNTEH01,0.8999999761581421
ABAVOP,XUNTIL,0.8999999761581421
ABAVOP,YAQCEY,0.8999999761581421
ABAVOP,YIGGEB,1.0
ABAVOP,YODRAM,1.0
ABAVOP,YUNBOZ,0.8999999761581421
ABAVUV,ACICOH,0.8999999761581421
ABAVUV,AHEMEG,0.8999999761581421
ABAVUV,AHETAK,1.0
ABAVUV,AKOXIJ,0.8999999761581421
ABAVUV,AVAQIX,0.8999999761581421
ABAVUV,AVAQIX01,0.8999999761581421
